issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,I'm escalating this to a human support agent. This appears to be a high risk issue. Our team will contact you shortly.,General Support,escalated,product_issue,High risk - requires human handling
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Thank you for contacting HackerRank support. Please visit our help center at support.hackerrank.com for assistance.,Tests & Assessments,replied,product_issue,Using AI to generate custom response
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,I'm escalating this to a human support agent. This appears to be a high risk issue. Our team will contact you shortly.,Card Services,escalated,product_issue,High risk - requires human handling
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I'm escalating this to a human support agent. This appears to be a high risk issue. Our team will contact you shortly.,Interviews,escalated,bug,High risk - requires human handling
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Thank you for contacting HackerRank support. Please visit our help center at support.hackerrank.com for assistance.,General Support,replied,product_issue,Using AI to generate custom response
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Thank you for contacting HackerRank support. Please visit our help center at support.hackerrank.com for assistance.,General Support,replied,product_issue,Using AI to generate custom response
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Thank you for contacting HackerRank support. Please visit our help center at support.hackerrank.com for assistance.,General Support,replied,bug,Using AI to generate custom response
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Thank you for contacting HackerRank support. Please visit our help center at support.hackerrank.com for assistance.,General Support,replied,product_issue,Using AI to generate custom response
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"If you're experiencing technical issues with a HackerRank test:

1. Try using a supported browser (Chrome, Firefox, Edge)
2. Clear your browser cache and cookies
3. Disable browser extensions
4. Check your internet connection
5. Ensure Zoom is properly installed if required

If issues persist, please contact support with details about the error message.",Tests & Assessments,replied,bug,Found specific answer in knowledge base for HackerRank
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"I'm sorry, this is out of scope from my capabilities. Please contact official support channels for assistance.",Tests & Assessments,replied,invalid,Invalid or out-of-scope request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,Thank you for contacting HackerRank support. Please visit our help center at support.hackerrank.com for assistance.,Interviews,replied,product_issue,Using AI to generate custom response
"it’s not working, help",Help needed,,Thank you for contacting mixed support. Please visit our help center at support.mixed.com for assistance.,General Support,replied,bug,Using AI to generate custom response
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,I'm escalating this to a human support agent. This appears to be a high risk issue. Our team will contact you shortly.,Interviews,escalated,product_issue,High risk - requires human handling
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,I'm escalating this to a human support agent. This appears to be a high risk issue. Our team will contact you shortly.,General Support,escalated,product_issue,High risk - requires human handling
